[2019-01-04 01:50:08] main.ERROR: Error: Application is not installed yet.  [] []
[2019-01-04 01:59:21] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["CONFIG"],"mode":"matchingTag"}} []
[2019-01-04 01:59:21] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"}} []
[2019-01-04 01:59:21] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"}} []
[2019-01-04 01:59:21] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"}} []
[2019-01-04 01:59:21] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"}} []
[2019-01-04 01:59:21] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["DB_DDL"],"mode":"matchingTag"}} []
[2019-01-04 01:59:21] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingTag"}} []
[2019-01-04 01:59:21] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["CUSTOMER_NOTIFICATION"],"mode":"matchingTag"}} []
[2019-01-04 01:59:21] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:21] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION"],"mode":"matchingTag"}} []
[2019-01-04 01:59:21] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION_API_CONFIG"],"mode":"matchingTag"}} []
[2019-01-04 01:59:21] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["TARGET_RULE"],"mode":"matchingTag"}} []
[2019-01-04 01:59:21] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["WEBSERVICE"],"mode":"matchingTag"}} []
[2019-01-04 01:59:21] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["TRANSLATE"],"mode":"matchingTag"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_1"}} []
[2019-01-04 01:59:23] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_2"}} []
